id,generated_fopl,ground_truth_fopl,structural_match,alpha_equivalent,normalized_match,status,timestamp
1,¬∃x (Vacation(x) ∧ Relaxing(x) ∧ ¬(BeautifulScenery(x) ∧ EnjoyableActivities(x))),∀x (Vacation(x) ∧ Relaxing(x) → (BeautifulScenery(x) ∧ EnjoyableActivities(x))),0,1,1,success,2026-03-26T23:20:08.818145+00:00
2,∀x (¬Gemstone(x) ∨ ((Diamond(x) ∧ ¬Ruby(x) ∧ ¬Emerald(x)) ∨ (Ruby(x) ∧ ¬Diamond(x) ∧ ¬Emerald(x)) ∨ (Emerald(x) ∧ ¬Diamond(x) ∧ ¬Ruby(x)))),∀x (Gemstone(x) → ((Diamond(x) ∧ ¬(Ruby(x) ∨ Emerald(x))) ∨ (Ruby(x) ∧ ¬(Diamond(x) ∨ Emerald(x))) ∨ (Emerald(x) ∧ ¬(Diamond(x) ∨ Ruby(x))))),0,0,1,success,2026-03-26T23:20:08.819010+00:00
3,∀x (¬SpeakMultipleLanguages(x) ∨ (Bilingual(x) ∨ Multilingual(x))),∀x (SpeakMultipleLanguages(x) → (Bilingual(x) ∨ Multilingual(x))),0,0,1,success,2026-03-26T23:20:08.819010+00:00
4,∀x (Organization(x) ∧ CharitableMission(x) ∧ ¬DistributesProfits(x) ∧ ReliesOnDonations(x) → NonProfit(x)),∀x (Organization(x) ∧ CharitableMission(x) ∧ ¬DistributesProfits(x) ∧ ReliesOnDonations(x) → NonProfit(x)),1,1,1,success,2026-03-26T23:20:08.819010+00:00
5,∀x (¬Flower(x) ∨ ¬SingleCotyledon(x) ∨ ¬ParallelVeinedLeaves(x) ∨ ¬FlowerPartsInMultiplesOfThree(x) ∨ Monocot(x)),∀x (Flower(x) ∧ SingleCotyledon(x) ∧ ParallelVeinedLeaves(x) ∧ FlowerPartsInMultiplesOfThree(x) → Monocot(x)),1,1,1,success,2026-03-26T23:20:08.819010+00:00
6,∀x (Fabric(x) ∧ Lightweight(x) ∧ Breathable(x) ∧ AbsorbsMoisture(x) → SuitableForAthleticWear(x)),∀x (Fabric(x) ∧ Lightweight(x) ∧ Breathable(x) ∧ AbsorbsMoisture(x) → SuitableForAthleticWear(x)),1,1,1,success,2026-03-26T23:20:08.820009+00:00
7,∀x (Place(x) ∧ HousesCollectionOfMedia(x) ∧ (Books(x) ∨ Periodicals(x) ∨ OtherMedia(x)) ∧ ForPublicUseAndStudy(x) ↔ Library(x)),∀x (Place(x) ∧ HousesCollectionOfMedia(x) ∧ (Books(x) ∨ Periodicals(x) ∨ OtherMedia(x)) ∧ ForPublicUseAndStudy(x) → Library(x)),1,1,1,success,2026-03-26T23:20:08.820009+00:00
8,¬∃x ¬(Bird(x) → (PossessFeathers(x) ∧ HasBeak(x) ∧ LaysEggs(x) ∧ LightweightBones(x) ∧ SpecializedMuscles(x) ∧ AbilityToFly(x))),∀x (Bird(x) → (PossessFeathers(x) ∧ HasBeak(x) ∧ LaysEggs(x) ∧ LightweightBones(x) ∧ SpecializedMuscles(x) ∧ AbilityToFly(x))),0,0,0,success,2026-03-26T23:20:08.820009+00:00
9,"¬∃x∃y∃z (Child(x) ∧ Toy(y) ∧ Playground(z) ∧ ¬PlaysWith(x, y, z))","∀x∀y∀z (Child(x) ∧ Toy(y) ∧ Playground(z) → PlaysWith(x, y, z))",0,0,1,success,2026-03-26T23:20:08.820439+00:00
10,∀x1 (Person(x1) ∧ StudiesNatureAndPropertiesOfMatterAndEnergy(x1) → Physicist(x1)),∀x (Person(x) ∧ StudiesNatureAndPropertiesOfMatterAndEnergy(x) → Physicist(x)),0,0,1,success,2026-03-26T23:20:08.820439+00:00
11,∀x (¬WellInsulatedBuilding(x) ∨ ConservesEnergyByMaintainingStableTemperature(x)),∀x (WellInsulatedBuilding(x) → ConservesEnergyByMaintainingStableTemperature(x)),1,1,1,success,2026-03-26T23:20:08.820439+00:00
12,∀x (Employee(x) ∧ EligibleForPromotion(x) ↔ ((WorkedAtCompanyForTwoYears(x) ∧ GoodPerformanceRecord(x)) ∨ RecommendationFromSupervisor(x))),∀x (Employee(x) ∧ EligibleForPromotion(x) ↔ ((WorkedAtCompanyForTwoYears(x) ∧ GoodPerformanceRecord(x)) ∨ RecommendationFromSupervisor(x))),1,1,1,success,2026-03-26T23:20:08.820439+00:00
13,¬∀x (Flower(x) → BloomsInSpring(x)),¬∀x (Flower(x) → BloomsInSpring(x)),1,1,1,success,2026-03-26T23:20:08.820439+00:00
